1,Unnamed: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Unnamed: 56,Undeclared,-,6.7,3.1,2.5,3.5,5.9,6.9,4.6,0.8,5.3,0.6,-,4.6,-,-,2.3,5.3,3.0,4.1,-,2.7,2.7,3.3,4.6,2.1,2.9,2.0,6.1,4.0,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Unnamed: 57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2013/14,TOTAL STUDENTS,-,"13,286","28,304","274,439","7,083","8,302","10,160","8,104","102,673","7,920","10,194",-,"19,334",-,"7,288","6,822","14,779","8,155","7,921",-,-,"53,919","68,047","5,350","21,266","7,341","10,821","10,191","7,022","16,579",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Unnamed: 59,Business/ Mgmt.,-,21.1,14.7,28.0,20.4,26.1,29.4,24.8,11.7,29.5,4.6,-,18.8,-,13.6,19.3,21.3,15.9,14.2,-,-,16.7,17.0,24.2,21.0,21.9,15.3,17.3,28.1,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Unnamed: 60,Education,-,1.6,6.5,1.7,2.2,0.8,1.8,1.6,0.5,2.4,0.9,-,2.8,-,1.2,2.1,2.8,0.7,1.8,-,-,3.2,3.1,1.7,3.3,2.2,4.2,4.0,1.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Unnamed: 61,Engineering*,-,10.5,8.2,19.8,14.0,13.9,7.8,7.4,38.0,16.8,56.0,-,4.3,-,39.4,28.5,17.3,20.0,23.9,-,-,23.3,12.7,16.4,17.1,16.7,26.5,5.3,15.7,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Unnamed: 62,Fine/ Applied Arts,-,7.3,8.5,5.3,8.1,5.2,4.1,10.2,1.4,8.9,5.2,-,7.7,-,2.6,4.6,8.4,1.1,2.1,-,-,1.9,12.8,6.9,12.5,8.8,5.8,7.0,6.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Unnamed: 63,Health Professions*,-,2.4,15.0,1.4,2.6,1.1,1.7,2.4,4.7,2.1,2.3,-,2.9,-,2.3,2.5,3.0,8.5,12.7,-,-,5.8,4.3,2.6,4.4,4.1,0.8,3.5,3.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Unnamed: 64,Humanities,-,3.1,3.9,0.9,4.7,6.4,6.6,2.7,0.5,1.4,0.9,-,4.5,-,0.6,1.4,3.7,0.8,1.9,-,-,1.1,4.5,10.2,2.2,1.1,2.4,7.1,1.5,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Unnamed: 65,Intensive English,-,14.4,0.1,2.8,6.9,1.5,0.6,1.9,0.2,1.0,0.8,-,15.2,-,28.2,0.1,2.8,0.1,0.4,-,-,24.0,3.7,2.5,4.2,4.8,3.1,0.1,11.0,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Unnamed: 66,Math/ Computer Science*,-,2.9,3.2,11.5,3.5,4.2,3.3,6.6,26.0,5.4,10.3,-,2.4,-,1.5,6.5,3.9,13.9,7.5,-,-,8.1,5.3,3.9,6.8,7.9,9.9,3.3,4.1,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Unnamed: 67,Physical/ Life Sciences*,-,6.2,9.2,8.9,10.7,6.3,7.5,6.2,10.0,7.5,11.1,-,4.8,-,1.8,12.2,7.4,23.1,12.7,-,-,4.2,7.4,4.8,10.9,10.2,8.9,7.4,4.8,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Unnamed: 68,Social Sciences,-,7.7,12.4,8.1,9.7,8.7,12.2,16.4,2.7,8.6,3.7,-,10.3,-,2.4,9.7,9.5,5.2,6.8,-,-,2.4,11.9,7.0,6.4,6.1,12.2,15.6,6.4,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Unnamed: 69,Other Fields of Study,-,16.9,14.8,8.6,13.2,20.4,16.3,14.6,3.4,11.7,3.7,-,20.9,-,4.6,10.4,14.7,7.6,11.3,-,-,6.7,13.4,15.4,9.2,12.8,9.0,21.8,11.8,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
